"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"rm_na_psbF",0.00341295000000003,0.00872129,4.59999999999996e-07,5.89999999999995e-07,0.00769911999999996,0.0420758600000002,5.99999999999995e-07,4.40000000000002e-07,0.0203258400000002,5.20000000000001e-07,4.40000000000002e-07,0.00873391999999998,0.01804879,0.0182873699999999,5.69999999999998e-07,0.0378973600000004,4.19999999999999e-07,0.00889527999999997,5.69999999999998e-07,0.0498887400000004,1.62e-06,0.0861734599999997,6.29999999999998e-07,0.00530343999999994
"rm_na_psbH",0.0143537099999999,0.00395711999999998,7.40000000000006e-07,0.00717022999999996,0.0144556600000001,0.0859224499999996,0.00932547999999991,0.0231859499999999,0.0231551799999998,0.0355368500000003,0.0340610999999998,0.0755957199999999,0.0425760800000002,0.17829205,3.60000000000003e-07,0.0103998799999999,0.02034231,0.0348271199999999,0.0220700699999999,0.0510974900000005,0.0218003900000002,0.0978202199999989,0.04225243,0.0223044900000002
"rm_na_psbI",0.00357842000000004,5.89999999999995e-07,0.0138701,5.89999999999995e-07,0.0139240300000001,0.0761000600000003,5.99999999999995e-07,4.40000000000002e-07,5.40000000000002e-07,0.0233543799999998,0.01359188,0.0270136800000002,5.00000000000001e-07,0.0185658999999999,5.69999999999998e-07,0.0130790100000001,0.00564509999999997,0.0219083099999999,0.00920419000000008,0.00961121000000007,0.0406781700000003,0.0757697000000004,0.02947225,0.00556057000000005
"rm_na_psbJ",0.00717638000000004,5.89999999999995e-07,0.0157696399999999,1.74999999999998e-06,0.00525192000000005,0.0531841400000005,5.99999999999995e-07,4.40000000000002e-07,0.03173853,0.0186578399999999,0.0213859999999998,0.0178085099999999,5.00000000000001e-07,0.0662235999999994,5.69999999999998e-07,0.0132021999999999,4.19999999999999e-07,3.8e-07,0.00763698999999998,0.0720372899999999,0.0242017999999999,0.0689143300000001,0.02623704,0.0111515100000001
"rm_na_psbK",0.0149244600000001,0.00616999999999997,0.00532655999999995,0.0193652899999998,0.00231154999999999,0.0757922599999995,0.0120613599999999,0.0140436400000001,0.01968501,0.0290756199999998,0.0225811899999998,0.0174424200000002,0.0161132300000001,0.06046983,0.00267656999999999,0.00965742000000008,1.73000000000002e-06,0.0211493600000002,0.0278279499999999,0.0538453700000002,0.0320041500000002,0.0738686899999992,0.11139781,0.0231913900000001
"rm_na_psbL",2e-07,5.89999999999995e-07,4.59999999999996e-07,5.89999999999995e-07,5.80000000000004e-07,0.0442258300000004,0.0207981599999998,4.40000000000002e-07,0.00928303999999998,5.20000000000001e-07,0.00906558999999995,0.0281360599999998,5.00000000000001e-07,0.00907762000000004,5.69999999999998e-07,7.10000000000008e-07,4.19999999999999e-07,0.0191253200000001,0.00940641000000005,5.69999999999998e-07,0.00932837000000006,0.0197268,0.01974795,3.20000000000003e-07
"rm_na_psbM",0.00861350000000003,1.53e-06,1.92999999999998e-06,5.89999999999995e-07,0.0506116299999996,0.0679365599999998,0.00674935000000008,0.0178977500000001,1.75399999999999e-05,0.03528956,0.0221748399999998,0.0331582200000001,0.0101298999999999,0.0526905900000006,5.69999999999998e-07,8.10000000000001e-07,6.70000000000005e-07,0.0444484200000004,0.00994794999999993,5.69999999999998e-07,0.0226830999999999,0.0447795900000002,0.0344292000000003,0.0133846599999999
"rm_na_psbN",2e-07,5.89999999999995e-07,4.59999999999996e-07,0.00985534999999999,0.02242644,0.0320941600000003,3.69999999999995e-07,0.00939110000000004,0.0358401799999997,0.00985590999999995,4.40000000000002e-07,0.00955211999999998,0.0194733999999998,0.0403651200000004,0.00941529999999995,0.00928886999999997,0.00612754000000001,0.02421312,3.50000000000004e-07,0.0182147100000002,0.0428370400000002,6.80000000000006e-07,5.30000000000001e-07,3.20000000000003e-07
"rm_na_psbT",2e-07,0.0218231399999999,0.01979901,0.01839887,0.0250011900000001,0.0684248599999997,0.0448776899999997,0.0242428600000001,8.70000000000003e-07,0.0894929400000008,1.80999999999998e-06,9.09999999999993e-07,0.01163416,0.0372574800000001,0.01381689,1.48999999999998e-06,0.00700703000000004,0.02106525,9.09999999999993e-07,0.02494836,0.0270695500000001,0.0129810000000001,0.0831263100000007,3.20000000000003e-07
"rm_na_psbZ",0.01103633,3.69999999999995e-07,7.40000000000006e-07,0.00283496000000001,0.0155601300000001,0.0328253899999998,0.00577227999999998,0.0115788000000001,0.00390859999999997,0.0461731699999995,0.0113465600000001,0.0243654200000001,0.0291391400000001,0.0397421999999997,3.60000000000003e-07,0.00553485000000005,6.70000000000005e-07,0.0177859700000002,0.0107261900000001,0.0114363699999999,0.0561220000000005,0.0220653999999997,0.0227428499999999,0.01714955
