"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"rm_na_psbC",0.00607135999999995,0.00357241999999996,0.0132156199999999,0.00293198999999999,0.00434418000000004,0.00608860999999998,0.0152264800000002,0.0465482000000003,0.0185497700000001,0.0436550600000003,0.03996503,0.00980011999999996,0.01944577,0.00615834999999999,2.60000000000001e-07,0.0253362200000003,0.0442849900000002,0.0436825600000001,0.0096621000000001,0.0275970999999999,0.0272982199999998,0.00518658000000002,0.000533230000000004,0.00786714999999997,5.99999999999995e-08,0.00992582999999993,0.0153468300000002,0.0572670500000002
"rm_na_psbD",0.00502472000000003,0.000631319999999995,0.01088259,1.30000000000001e-07,0.00295577,0.00252417,0.00450870999999999,0.0358998799999997,0.01605607,0.0388931700000003,0.0395810600000005,0.0183612899999998,0.0108912100000001,0.00252345999999998,1.60000000000002e-07,0.02833001,0.0250850399999998,0.02771391,0.0017461,0.01589757,0.0332283599999999,0.00761988999999992,0.00199959999999999,0.00519459999999997,0.00204971,0.00872984000000009,0.0127663299999999,0.0473947799999995
"rm_na_psbE",0.00626205999999998,2.70000000000001e-07,0.00978655000000008,3.20000000000003e-07,0.0157145899999999,7.89999999999998e-07,3.20000000000003e-07,0.04028408,0.00718922000000002,0.0381946899999996,0.02177237,0.00503467000000003,0.0137523099999999,7.89999999999998e-07,6.60000000000002e-07,0.0291636499999999,0.0423664400000002,0.02403377,0.01021955,0.01858374,0.0142024200000001,0.00899969000000007,2.20000000000002e-07,2.80000000000001e-07,2.20000000000002e-07,2.50000000000001e-07,0.00446882000000004,0.0590657800000006
"rm_na_psbF",0.00383653000000004,6.90000000000008e-07,4.89999999999996e-07,5.10000000000005e-07,8.10000000000001e-07,4.89999999999996e-07,0.00773447999999992,0.0422356999999999,0.0201789700000002,0.00881433000000009,0.01832627,0.0179162999999999,0.00881095999999995,0.0405680200000003,0.00808601999999994,4.59999999999996e-07,0.0185591599999998,0.0200400000000001,4.59999999999996e-07,0.00881396999999995,5.30000000000001e-07,6.40000000000004e-07,5.69999999999998e-07,4.40000000000002e-07,5.59999999999999e-07,0.00883201000000002,0.01767763,0.03618741
"rm_na_psbH",0.0156865999999999,4.30000000000003e-07,0.0270340999999997,0.00243857999999998,2.72400000000002e-05,7.89999999999998e-07,0.01072384,0.0735654999999993,0.0302095800000002,0.10694071,0.14704665,0.0411847499999996,0.0591731799999994,7.89999999999998e-07,6.60000000000002e-07,0.0453399200000005,0.0203743799999999,0.0216088699999998,0.00420195000000001,0.0468465000000001,0.10819933,0.0105600399999999,0.00983175000000006,0.00458493,3.50000000000004e-07,0.00550829000000001,0.0464856100000001,0.14796116
"rm_na_psbI",0.00649457999999996,6.90000000000008e-07,0.00982380999999998,5.10000000000005e-07,0.00998965000000003,0.0127667299999999,0.0099060099999999,0.0974552399999997,1.45000000000002e-06,0.0557126100000003,0.0209162699999998,6.19999999999994e-07,0.01030083,0.01175547,0.0112462900000001,7.30000000000007e-07,0.0208320900000001,0.0788321499999998,0.00920933000000006,0.0244505200000001,0.0843866700000006,6.40000000000004e-07,5.69999999999998e-07,0.01008643,5.59999999999999e-07,0.00964746999999997,0.00964935999999996,0.0612590200000001
"rm_na_psbJ",0.00814160000000006,6.90000000000008e-07,0.0369801099999997,5.10000000000005e-07,1.67999999999999e-06,1.13e-06,2.93e-06,0.05066447,0.0657914000000005,0.0826851100000004,0.0853013500000001,0.0181558199999998,5.10000000000005e-07,4.89999999999996e-07,4.10000000000004e-07,0.0177068100000002,0.0280176500000001,0.0273656,0.00159296999999998,0.0468121999999998,0.0509989999999997,6.40000000000004e-07,5.69999999999998e-07,4.40000000000002e-07,0.00806882999999998,6.40000000000004e-07,6.10000000000004e-07,0.0767942499999994
"rm_na_psbK",0.00901762999999996,1.78999999999999e-06,0.0238130700000001,0.01173362,0.0125298100000001,0.00697440000000002,0.0322353699999998,0.0913612600000003,0.01605565,0.0377814799999999,0.0531079000000001,0.03181703,7.5e-07,0.01511982,6.60000000000002e-07,0.0229602799999999,0.0814362099999992,0.04293827,0.00517044000000005,0.0279489299999998,0.0289585199999999,0.00849634999999998,3.60000000000003e-07,0.00525395000000004,0.0201233800000001,0.0229537600000001,0.0115165099999999,0.0850572400000002
"rm_na_psbL",0.00294918999999997,6.90000000000008e-07,4.89999999999996e-07,5.10000000000005e-07,6.70000000000005e-07,4.89999999999996e-07,5.20000000000001e-07,0.06051838,0.0095276799999999,0.0407459700000005,0.00922770000000005,3.90000000000001e-07,5.10000000000005e-07,4.89999999999996e-07,6.60000000000002e-07,4.59999999999996e-07,0.00952997000000007,0.0307957899999996,0.0104944600000001,0.0202743600000001,0.0192710000000001,6.40000000000004e-07,5.69999999999998e-07,7.10000000000008e-07,0.0095681800000001,0.00962075000000001,6.10000000000004e-07,0.02781769
"rm_na_psbM",0.00469575000000004,6.90000000000008e-07,1.96000000000002e-06,0.0236426300000001,0.0217721300000001,2.05999999999998e-06,0.0657166199999999,0.0785384600000008,1.22699999999999e-05,0.0554048499999999,0.0500563499999997,0.01211156,0.0365628200000001,0.0365654700000001,6.60000000000002e-07,0.0498308800000001,0.0247192599999999,6.60000000000002e-07,1.91000000000001e-06,0.0265776300000002,0.0747194599999993,0.0251401100000001,0.0103453100000001,0.0114693900000001,5.59999999999999e-07,0.0110477400000001,1.58999999999999e-06,0.0442919100000004
